usage_id,session_id,player_id,ability_id,times_used,enemies_defeated,damage_dealt,minutes_equipped
151,22,1003,11,1,1,107,7
152,22,1003,11,4,5,700,16
153,22,1003,10,20,28,3400,7
154,23,1003,8,13,15,1807,35
155,23,1003,6,10,9,1130,24
156,23,1003,4,16,18,2224,7
157,23,1003,8,16,23,2832,21
158,23,1003,10,12,12,1440,27
159,23,1003,1,8,11,1392,10
160,24,1003,6,14,13,1638,10
161,24,1003,1,8,8,1024,37
162,24,1003,9,16,20,2400,42
163,24,1003,10,11,10,1232,32
164,24,1003,11,16,18,2208,11
165,24,1003,7,12,10,1212,9
166,24,1003,7,16,13,1648,35
167,24,1003,12,2,2,294,3
168,25,1003,7,14,11,1358,21
169,25,1003,2,5,3,405,7
170,25,1003,4,12,8,1044,20
171,25,1003,6,20,23,2820,22
172,26,1003,5,1,1,82,17
173,26,1003,7,18,17,2088,1
174,26,1003,4,14,11,1428,4
175,26,1003,10,17,14,1683,8
176,26,1003,1,17,15,1904,12
177,26,1003,2,13,9,1170,12
178,26,1003,11,15,19,2280,8
179,26,1003,12,8,7,944,3
180,27,1004,5,2,2,322,2
181,27,1004,7,3,3,429,56
182,27,1004,6,11,13,1672,13
183,27,1004,10,2,1,218,28
184,27,1004,10,19,22,2660,35
185,27,1004,1,3,4,501,36
186,27,1004,10,19,25,3116,5
187,28,1004,6,13,9,1157,20
188,28,1004,1,8,10,1216,54
189,28,1004,10,18,18,2196,25
190,28,1004,7,5,7,840,47
191,28,1004,1,12,8,1032,7
192,29,1004,6,20,26,3120,26
193,29,1004,11,11,7,913,41
194,29,1004,2,15,17,2130,15
195,29,1004,2,13,14,1755,12
196,29,1004,6,13,9,1170,40
197,29,1004,2,8,11,1368,5
198,30,1004,7,5,7,870,25
199,30,1004,2,4,3,364,1
200,30,1004,10,15,15,1890,49
201,30,1004,2,5,3,455,12
202,30,1004,3,18,22,2718,33
203,30,1004,3,1,1,91,23
204,30,1004,5,20,26,3120,21
205,31,1004,3,3,4,516,32
206,31,1004,6,6,8,1002,49
207,31,1004,1,9,8,1062,35
208,31,1004,4,3,2,303,56
209,31,1004,2,10,11,1410,10
210,31,1004,2,8,11,1376,64
211,32,1004,1,1,1,130,22
212,32,1004,9,13,13,1586,29
213,32,1004,2,20,16,1940,20
214,32,1004,2,7,8,987,21
215,33,1005,11,8,8,968,25
216,33,1005,2,13,13,1638,8
217,33,1005,10,7,9,1085,35
218,33,1005,1,18,12,1494,47
219,33,1005,3,7,7,952,52
220,33,1005,2,3,3,396,44
221,33,1005,4,10,9,1100,17
222,34,1005,8,3,3,411,31
223,34,1005,6,18,21,2592,27
224,34,1005,5,12,16,2028,6
225,34,1005,1,8,10,1312,23
226,34,1005,1,20,14,1700,26
227,34,1005,11,11,12,1485,7
228,34,1005,1,9,8,972,33
229,35,1005,6,8,9,1096,48
230,35,1005,3,19,26,3192,65
231,35,1005,1,1,1,141,14
232,35,1005,2,3,2,282,19
233,35,1005,2,11,12,1518,27
234,35,1005,5,12,14,1680,13
235,35,1005,3,15,15,1800,9
236,35,1005,2,4,2,328,44
237,36,1005,10,8,9,1168,6
238,36,1005,5,11,13,1661,14
239,36,1005,11,8,8,1048,21
240,36,1005,1,14,15,1820,1
241,36,1005,7,7,7,959,19
242,37,1005,1,3,3,459,14
243,37,1005,8,18,15,1854,47
244,37,1005,2,15,11,1410,34
245,37,1005,6,16,19,2352,41
246,37,1005,6,20,21,2600,15
247,38,1005,1,10,13,1580,38
248,38,1005,1,5,5,600,8
249,38,1005,2,4,3,412,24
250,38,1005,6,17,18,2193,27
251,38,1005,6,19,20,2451,28
252,38,1005,1,18,25,3024,59
253,38,1005,6,6,7,906,11
254,38,1005,4,5,4,515,21
255,39,1005,10,1,1,142,18
256,39,1005,1,13,16,1963,65
257,39,1005,6,14,19,2338,63
258,39,1005,3,15,17,2130,22
259,40,1006,1,8,9,1184,10
260,40,1006,1,15,19,2280,16
261,40,1006,5,4,5,612,4
262,40,1006,2,18,18,2268,18
263,40,1006,9,2,2,354,15
264,40,1006,5,14,10,1302,8
265,41,1006,2,3,3,408,4
266,41,1006,8,8,7,848,19
267,41,1006,6,20,26,3200,14
268,41,1006,1,5,7,900,7
269,41,1006,8,2,2,304,12
270,41,1006,5,20,24,2960,6
271,42,1006,2,17,23,2822,7
272,42,1006,1,14,10,1218,18
273,42,1006,10,5,7,845,9
274,42,1006,2,11,10,1221,49
275,42,1006,9,13,15,1846,10
276,42,1006,6,9,12,1440,27
277,42,1006,2,3,4,483,51
278,42,1006,10,3,3,393,33
279,43,1006,3,16,16,1936,38
280,43,1006,1,3,4,519,30
281,43,1006,6,12,8,1056,35
282,43,1006,3,14,12,1498,32
283,43,1006,2,10,10,1230,36
284,43,1006,6,19,22,2698,22
285,44,1006,6,15,10,1230,4
286,44,1006,10,6,6,816,15
287,44,1006,1,14,12,1470,5
288,44,1006,10,10,8,1000,9
289,45,1006,2,6,4,516,26
290,45,1006,6,8,8,1072,42
291,45,1006,1,4,2,320,14
292,45,1006,3,5,6,775,15
293,46,1007,7,4,4,536,17
294,46,1007,3,8,8,1032,12
295,46,1007,7,4,3,372,41
296,46,1007,2,10,8,970,49
297,47,1007,1,19,12,1539,11
298,47,1007,3,7,9,1120,10
299,47,1007,10,20,27,3340,29
300,47,1007,10,3,2,276,9
301,47,1007,7,19,27,3287,25
302,48,1007,2,3,2,333,37
303,48,1007,8,1,1,164,39
304,48,1007,1,20,24,2900,25
305,48,1007,7,10,13,1620,7
306,48,1007,8,8,9,1144,50
307,49,1007,1,1,1,126,21
308,49,1007,1,19,21,2527,24
309,49,1007,5,6,8,1062,31
310,49,1007,11,3,2,246,38
311,49,1007,1,9,8,963,3
312,49,1007,10,13,15,1872,19
313,49,1007,6,17,25,3026,27
314,49,1007,3,13,9,1170,41
315,50,1007,2,10,7,900,66
316,50,1007,10,5,6,740,42
317,50,1007,2,3,2,357,56
318,50,1007,7,8,5,696,32
319,50,1007,1,14,10,1316,59
320,51,1007,1,5,7,845,1
321,51,1007,1,12,14,1752,17
322,51,1007,8,9,7,909,12
323,51,1007,1,9,12,1557,4
324,51,1007,8,1,1,122,14
325,52,1007,7,19,25,3040,10
326,52,1007,4,17,17,2142,8
327,52,1007,4,19,15,1919,48
328,52,1007,1,4,5,612,15
329,52,1007,2,17,11,1360,6
330,52,1007,10,1,1,111,6
331,53,1007,1,2,2,300,52
332,53,1007,10,14,12,1512,21
333,53,1007,2,11,10,1254,53
334,53,1007,1,12,9,1140,33
335,53,1007,6,2,1,204,15
336,54,1007,1,15,14,1740,40
337,54,1007,2,18,20,2484,2
338,54,1007,2,10,12,1520,39
339,54,1007,7,8,9,1112,48
340,54,1007,6,16,23,2848,26
341,54,1007,7,18,26,3186,32
342,54,1007,1,14,9,1162,30
343,55,1007,11,1,1,177,43
344,55,1007,2,10,7,930,14
345,55,1007,5,8,8,1064,32
346,55,1007,11,5,7,855,18
347,56,1008,7,12,13,1656,6
348,56,1008,6,17,13,1649,41
349,56,1008,9,3,3,465,37
350,56,1008,1,5,4,550,19
351,56,1008,2,11,11,1430,21
352,56,1008,2,9,8,981,5
353,56,1008,10,5,7,895,38
354,57,1008,3,11,12,1452,8
355,57,1008,5,7,7,959,20
356,57,1008,3,4,3,364,11
357,57,1008,8,10,14,1700,3
358,57,1008,1,11,8,1078,6
359,58,1008,4,10,9,1130,12
360,58,1008,1,13,14,1781,36
361,58,1008,7,8,6,736,30
362,58,1008,1,5,3,475,1
363,58,1008,1,8,6,768,13
364,58,1008,9,12,16,2004,41
365,58,1008,10,3,3,462,38
366,59,1008,1,15,12,1440,3
367,59,1008,10,11,8,1045,2
368,59,1008,10,2,1,202,19
369,59,1008,3,13,15,1859,1
370,60,1008,1,6,5,690,36
371,60,1008,3,5,3,420,32
372,60,1008,6,16,17,2112,62
373,60,1008,1,9,9,1161,18
374,60,1008,3,17,15,1887,3
375,60,1008,12,12,14,1692,63
376,61,1008,2,6,4,498,41
377,61,1008,6,1,1,179,36
378,61,1008,1,16,19,2352,46
379,61,1008,7,8,6,800,13
380,61,1008,2,8,7,912,69
381,61,1008,8,2,2,354,29
382,62,1009,1,19,19,2280,46
383,62,1009,10,1,1,170,46
384,62,1009,10,19,15,1862,25
385,62,1009,9,16,19,2384,40
386,62,1009,1,2,1,182,8
387,63,1009,3,11,14,1738,13
388,63,1009,8,11,15,1881,12
389,63,1009,10,11,7,957,2
390,63,1009,1,5,7,895,8
391,63,1009,10,12,8,1068,24
392,63,1009,7,13,16,2015,7
393,63,1009,2,11,8,1067,11
394,63,1009,7,14,18,2254,32
395,64,1009,6,20,30,3600,23
396,64,1009,2,19,16,1938,25
397,64,1009,2,10,8,960,12
398,64,1009,7,19,20,2470,55
399,64,1009,12,19,13,1596,12
400,64,1009,6,20,18,2160,41
401,64,1009,5,16,13,1568,22
402,64,1009,7,8,8,992,21
403,65,1009,3,9,7,954,8
404,65,1009,6,12,11,1344,26
405,65,1009,1,1,1,86,13
406,65,1009,3,14,11,1414,14
407,65,1009,4,13,13,1612,18
408,65,1009,2,16,24,2880,19
409,66,1009,1,2,1,234,2
410,66,1009,2,4,2,356,22
411,66,1009,1,13,10,1300,5
412,66,1009,5,3,3,369,39
413,66,1009,11,16,22,2720,2
414,66,1009,3,6,7,942,28
415,66,1009,1,4,4,488,14
416,67,1009,7,18,16,2034,37
417,67,1009,2,4,2,344,51
418,67,1009,6,16,13,1584,7
419,67,1009,2,14,10,1274,38
420,67,1009,9,20,23,2820,26
421,67,1009,1,7,5,707,38
422,67,1009,11,16,12,1504,40
423,67,1009,8,16,18,2272,34
424,68,1009,2,13,13,1651,24
425,68,1009,3,9,10,1224,60
426,68,1009,2,9,11,1368,8
427,68,1009,1,4,3,360,45
428,68,1009,8,14,20,2464,76
429,69,1009,8,14,17,2072,61
430,69,1009,6,8,9,1120,39
431,69,1009,1,2,2,288,74
432,69,1009,10,19,26,3154,80
433,69,1009,1,15,12,1530,22
434,69,1009,11,7,5,672,6
435,69,1009,3,14,12,1470,81
436,70,1009,1,18,19,2340,36
437,70,1009,2,9,10,1314,30
438,70,1009,10,1,1,180,45
439,70,1009,6,17,25,3060,27
440,71,1009,5,19,28,3363,13
441,71,1009,10,19,28,3401,13
442,71,1009,8,18,18,2232,53
443,71,1009,2,16,20,2448,61
444,71,1009,1,9,9,1179,19
445,72,1010,10,11,15,1848,31
446,72,1010,1,16,15,1824,48
447,72,1010,1,10,9,1190,36
448,72,1010,9,4,3,436,18
449,72,1010,2,15,22,2685,42
450,72,1010,2,14,18,2198,12
451,72,1010,1,7,7,924,63
452,73,1010,4,6,4,528,40
453,73,1010,7,13,10,1261,68
454,73,1010,10,1,1,102,25
455,73,1010,10,7,5,609,32
456,74,1010,7,9,9,1143,60
457,74,1010,4,4,5,668,4
458,74,1010,2,16,20,2496,58
459,74,1010,1,16,20,2480,71
460,74,1010,2,6,5,678,12
461,74,1010,2,13,9,1118,21
462,75,1010,6,7,6,798,84
463,75,1010,3,1,1,179,88
464,75,1010,1,5,6,810,23
465,75,1010,6,1,1,108,33
466,75,1010,6,10,14,1710,83
467,76,1010,3,7,8,973,39
468,76,1010,6,20,21,2600,14
469,76,1010,1,12,15,1812,37
470,76,1010,2,4,4,564,9
471,76,1010,2,9,12,1449,42
472,76,1010,10,9,12,1467,39
473,77,1010,10,20,21,2620,21
474,77,1010,6,1,1,163,32
475,77,1010,12,9,9,1197,26
476,77,1010,2,2,2,308,13
477,77,1010,2,8,11,1336,31
478,78,1010,10,18,15,1854,19
479,78,1010,1,5,7,870,17
480,78,1010,7,18,26,3186,59
481,78,1010,1,11,14,1793,6
482,78,1010,2,8,11,1400,56
483,78,1010,2,11,11,1397,17
484,79,1010,3,19,24,2926,40
485,79,1010,1,7,8,1008,8
486,79,1010,10,13,15,1911,20
487,79,1010,3,5,4,485,13
488,80,1010,1,6,8,1074,11
489,80,1010,4,6,6,720,8
490,80,1010,1,9,7,954,22
491,80,1010,6,6,7,852,12
492,80,1010,1,14,18,2254,55
493,80,1010,3,16,17,2064,1
494,80,1010,1,7,10,1211,48
495,81,1010,1,1,1,160,47
496,81,1010,2,12,11,1428,9
497,81,1010,1,17,21,2635,20
498,81,1010,1,2,1,236,19
499,81,1010,3,17,22,2652,34
500,82,1011,2,7,5,707,26
501,82,1011,1,8,11,1384,9
502,82,1011,1,1,1,155,11
503,82,1011,1,2,2,256,17
504,82,1011,8,20,14,1720,4
505,82,1011,6,1,1,86,8
506,82,1011,3,13,10,1235,17
507,83,1011,2,4,5,656,34
508,83,1011,2,20,28,3380,9
509,83,1011,3,4,4,580,8
510,83,1011,2,4,4,572,13
511,84,1011,11,12,17,2040,27
512,84,1011,2,2,2,300,32
513,84,1011,10,16,16,1952,16
514,84,1011,1,3,2,282,37
515,84,1011,6,5,3,455,33
516,84,1011,1,4,3,448,15
517,84,1011,3,10,9,1130,30
518,84,1011,1,6,4,510,19
519,85,1011,1,2,1,162,55
520,85,1011,1,6,6,732,23
521,85,1011,10,20,19,2280,47
522,85,1011,1,11,9,1133,8
523,86,1011,9,16,17,2128,22
524,86,1011,1,2,1,200,14
525,86,1011,3,19,22,2679,57
526,86,1011,1,13,19,2327,46
527,86,1011,6,5,5,705,63
528,86,1011,1,14,15,1904,6
529,87,1011,1,17,25,3026,48
530,87,1011,6,19,17,2052,43
531,87,1011,10,17,20,2482,45
532,87,1011,7,4,4,540,43
533,87,1011,7,16,16,1984,43
534,87,1011,6,13,10,1287,36
535,88,1011,4,16,19,2288,6
536,88,1011,1,16,16,1936,8
537,88,1011,2,9,6,774,17
538,88,1011,2,13,14,1703,8
539,88,1011,1,15,19,2295,15
540,89,1011,1,16,23,2800,3
541,89,1011,1,14,9,1176,72
542,89,1011,5,3,3,471,39
543,89,1011,10,18,15,1908,59
544,89,1011,11,12,8,1032,29
545,89,1011,10,11,13,1661,77
546,90,1012,1,8,5,640,22
547,90,1012,2,10,12,1500,34
548,90,1012,2,4,2,340,58
549,90,1012,1,5,7,855,48
550,90,1012,7,4,3,448,40
551,90,1012,1,4,4,520,14
552,90,1012,3,7,9,1197,22
553,91,1012,1,15,17,2070,65
554,91,1012,1,16,10,1280,68
555,91,1012,7,18,20,2430,62
556,91,1012,10,6,8,1008,23
557,91,1012,7,5,3,465,50
558,91,1012,6,20,20,2420,65
559,91,1012,10,14,18,2198,32
560,91,1012,2,11,10,1287,58
561,92,1012,6,17,16,2006,21
562,92,1012,7,18,24,2880,14
563,92,1012,1,20,28,3420,19
564,92,1012,6,5,7,850,12
565,92,1012,4,11,15,1870,8
566,92,1012,7,18,21,2538,27
567,92,1012,6,18,17,2088,28
568,93,1012,1,5,3,430,2
569,93,1012,1,6,5,696,9
570,93,1012,1,2,2,336,10
571,93,1012,1,18,12,1512,12
572,94,1012,10,18,16,1944,72
573,94,1012,2,17,25,3060,37
574,94,1012,6,2,2,256,50
575,94,1012,3,11,13,1650,7
576,94,1012,1,9,7,945,57
577,94,1012,9,12,17,2112,70
578,94,1012,7,7,10,1253,25
579,94,1012,2,6,8,1002,10
580,95,1012,1,2,2,268,18
581,95,1012,5,5,4,500,17
582,95,1012,1,15,21,2550,10
583,95,1012,1,11,14,1716,4
584,95,1012,8,20,27,3280,20
585,95,1012,4,19,23,2850,23
586,95,1012,1,11,13,1617,15
587,95,1012,11,17,12,1496,33
588,96,1012,3,12,10,1296,28
589,96,1012,6,11,11,1386,38
590,96,1012,1,20,24,2940,61
591,96,1012,12,1,1,94,45
592,96,1012,3,20,26,3180,32
593,96,1012,11,11,11,1408,15
594,96,1012,2,18,25,3096,37
595,96,1012,1,17,25,3026,48
596,97,1012,1,7,7,847,66
597,97,1012,1,4,3,404,69
598,97,1012,5,3,2,318,28
599,97,1012,10,14,10,1302,27
600,97,1012,5,14,18,2268,10
601,97,1012,7,5,3,415,59
602,97,1012,7,2,1,182,10
603,98,1012,1,8,7,904,27
604,98,1012,2,13,14,1755,21
605,98,1012,1,4,4,592,1
606,98,1012,6,20,14,1760,3
607,98,1012,7,3,3,375,33
608,98,1012,1,10,13,1570,6
609,98,1012,2,15,16,1920,26
610,98,1012,9,1,1,140,11
611,99,1013,8,18,17,2106,10
612,99,1013,2,12,8,972,10
613,99,1013,1,1,1,153,26
614,99,1013,5,3,2,357,14
615,99,1013,7,12,10,1284,27
616,99,1013,10,17,13,1666,11
617,99,1013,1,20,18,2240,13
618,100,1013,10,18,20,2502,36
619,100,1013,1,3,2,336,7
620,100,1013,1,19,22,2698,22
621,100,1013,2,8,6,736,19
622,100,1013,6,7,7,840,32
623,100,1013,3,20,27,3280,20
624,100,1013,6,5,6,760,37
625,100,1013,2,11,12,1474,11
626,101,1013,7,14,13,1610,54
627,101,1013,2,11,12,1551,30
628,101,1013,3,10,11,1420,36
629,101,1013,1,20,15,1800,54
630,101,1013,2,5,6,740,13
631,102,1013,10,17,22,2720,1
632,102,1013,8,19,20,2489,19
633,102,1013,1,2,2,300,9
634,102,1013,5,18,21,2520,21
635,103,1013,2,19,27,3287,19
636,103,1013,1,17,20,2465,6
637,103,1013,3,17,11,1377,16
638,103,1013,10,20,27,3340,11
639,103,1013,7,5,5,685,11
640,103,1013,1,19,25,3116,10
641,103,1013,7,16,16,2000,3
642,104,1013,2,8,5,680,27
643,104,1013,5,12,12,1548,61
644,104,1013,10,2,1,170,42
645,104,1013,1,17,22,2737,36
646,105,1013,5,13,17,2119,25
647,105,1013,2,3,3,438,17
648,105,1013,2,8,9,1168,26
649,105,1013,2,12,14,1704,31
650,105,1013,10,1,1,144,9
651,105,1013,3,8,5,712,33
652,105,1013,6,7,5,693,12
653,105,1013,1,20,28,3420,8
654,106,1013,7,16,22,2656,31
655,106,1013,3,19,15,1900,42
656,106,1013,9,1,1,111,3
657,106,1013,1,19,15,1900,9
658,106,1013,6,2,2,306,10
659,106,1013,1,9,7,927,34
660,107,1013,10,10,7,900,28
661,107,1013,3,16,18,2256,22
662,107,1013,1,14,18,2184,19
663,107,1013,8,6,7,954,85
664,108,1013,10,20,25,3100,5
665,108,1013,2,13,10,1248,7
666,108,1013,1,17,20,2448,44
667,108,1013,3,5,6,785,7
668,108,1013,1,20,26,3120,3
669,108,1013,10,18,21,2592,8
670,109,1014,9,14,17,2044,14
671,109,1014,2,2,2,338,17
672,109,1014,3,16,23,2848,13
673,109,1014,2,19,14,1748,14
674,109,1014,1,16,23,2848,8
675,109,1014,10,3,2,348,20
676,109,1014,10,14,13,1568,7
677,109,1014,1,1,1,153,17
678,110,1014,6,11,12,1452,47
679,110,1014,1,14,19,2282,75
680,110,1014,2,18,20,2412,73
681,110,1014,2,9,12,1503,51
682,110,1014,7,14,17,2100,72
683,110,1014,3,12,15,1812,72
684,110,1014,3,10,12,1530,45
685,111,1014,10,4,5,700,30
686,111,1014,3,6,4,552,28
687,111,1014,4,11,13,1650,7
688,111,1014,1,1,1,91,19
689,111,1014,3,20,22,2700,12
690,112,1014,1,2,2,344,25
691,112,1014,10,13,17,2054,42
692,112,1014,5,20,14,1740,12
693,112,1014,6,15,10,1215,13
694,112,1014,10,17,16,1972,13
695,112,1014,1,20,24,2900,34
696,113,1014,6,12,11,1320,42
697,113,1014,1,6,4,546,18
698,113,1014,8,12,16,1980,26
699,113,1014,3,7,8,1022,1
700,113,1014,7,3,2,273,36
701,114,1014,2,9,8,972,78
702,114,1014,11,15,16,1965,74
703,114,1014,1,6,6,792,65
704,114,1014,1,3,3,432,38
705,114,1014,2,4,4,580,33
706,114,1014,10,19,17,2128,57
707,115,1015,11,15,20,2505,59
708,115,1015,10,1,1,141,15
709,115,1015,2,13,17,2093,29
710,115,1015,6,8,8,960,53
711,115,1015,11,17,20,2516,2
712,115,1015,7,9,8,999,37
713,116,1015,1,6,7,840,41
714,116,1015,2,19,18,2166,24
715,116,1015,10,7,8,1001,26
716,116,1015,2,8,7,904,27
717,116,1015,2,8,10,1272,46
718,116,1015,1,4,3,380,11
719,117,1015,7,18,12,1530,62
720,117,1015,2,11,13,1573,74
721,117,1015,10,16,13,1648,66
722,117,1015,2,8,11,1408,74
723,118,1015,3,18,12,1512,17
724,118,1015,2,6,6,828,4
725,118,1015,7,15,15,1800,1
726,118,1015,1,7,7,896,19
727,118,1015,1,12,15,1896,9
728,118,1015,1,9,8,990,9
729,118,1015,3,20,20,2460,12
730,119,1015,3,12,12,1512,52
731,119,1015,2,6,7,918,17
732,119,1015,11,8,6,736,35
733,119,1015,8,18,20,2430,49
734,119,1015,1,5,5,700,2
735,120,1015,12,17,20,2516,41
736,120,1015,8,10,9,1120,7
737,120,1015,3,6,4,522,28
738,120,1015,8,16,21,2560,13
739,120,1015,3,11,10,1243,47
740,121,1015,2,14,11,1330,45
741,121,1015,10,20,17,2100,74
742,121,1015,6,18,15,1836,37
743,121,1015,2,17,20,2414,58
744,121,1015,10,13,17,2054,37
745,121,1015,3,5,4,505,82
746,122,1015,6,3,2,270,11
747,122,1015,2,11,11,1320,42
748,122,1015,2,9,11,1413,42
749,122,1015,3,15,22,2685,56
750,122,1015,10,19,23,2774,29
751,122,1015,3,6,4,492,9
752,122,1015,7,9,13,1575,45
753,122,1015,7,7,5,707,26
754,123,1015,5,1,1,178,13
755,123,1015,5,3,2,279,9
756,123,1015,6,3,4,489,13
757,123,1015,2,8,11,1392,10
758,123,1015,3,5,4,480,17
759,123,1015,9,1,1,84,22
760,123,1015,2,11,12,1540,15
761,124,1016,1,18,15,1836,38
762,124,1016,6,19,21,2565,34
763,124,1016,6,18,17,2142,23
764,124,1016,3,8,6,728,29
765,124,1016,2,14,13,1582,10
766,124,1016,2,1,1,146,49
767,124,1016,10,12,11,1392,31
768,125,1016,10,16,15,1888,1
769,125,1016,7,10,13,1560,8
770,125,1016,8,18,19,2286,7
771,125,1016,3,18,20,2430,13
772,125,1016,2,13,13,1664,8
773,125,1016,2,14,18,2240,8
774,125,1016,4,20,28,3360,9
775,126,1016,1,3,2,309,18
776,126,1016,2,15,19,2385,58
777,126,1016,2,20,23,2840,25
778,126,1016,2,5,3,430,69
779,126,1016,1,4,3,464,35
780,126,1016,1,15,21,2595,2
781,126,1016,2,5,3,405,64
782,127,1016,8,16,16,2032,30
783,127,1016,7,2,2,244,6
784,127,1016,9,5,3,435,18
785,127,1016,8,3,3,447,31
786,127,1016,1,9,9,1152,54
787,127,1016,1,8,8,1032,50
788,128,1016,1,4,4,584,43
789,128,1016,11,16,17,2064,44
